Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C3, C4, C5, C6, C7, C8, C9",0603,11,0.1u,
D1,0805,1,Alarm_LED,
"D10, D11, D12, D3, D4, D5, D6, D7, D8, D9",ws2812_airqm,10,WS2812B,
D2,0805,1,PWM_LED,
J1,PinSocket_1x06_P2.54mm_Vertical,1,PMS5003 adapt,
J2,Molex_PicoBlade_53261-0871_1x08-1MP_P1.25mm_Horizontal,1,PMS5003,
J3,PinSocket_1x04_P2.54mm_Vertical,1,SHT45,
J4,PinSocket_1x04_P2.54mm_Vertical,1,SGP41,
J5,PinSocket_1x04_P2.54mm_Vertical,1,Spare I2C,
J6,PinSocket_1x07_P2.54mm_Vertical,1,OLED,
"R1, R2",0805,2,4.7k,
"R3, R4",0805,2,10k,
"SW1, SW2",tactile_switch_airqm,2,SW_Push,
U1,MODULE_ESP32-C3_SUPERMINI,1,ESP32-C3_SUPERMINI,
U2,Senseair_S8_Up,1,004-0-0053,
