Designator,Mid X,Mid Y,Rotation,Layer
C1,117.5,-83.0,0.0,top
C10,91.5,-103.0,270.0,top
C11,91.5,-110.0,270.0,top
C2,120.5,-83.5,90.0,top
C3,120.5,-98.5,270.0,top
C4,120.5,-112.5,270.0,top
C5,117.5,-117.0,0.0,top
C6,86.225,-114.5,180.0,top
C7,91.5,-82.0,270.0,top
C8,91.5,-89.0,270.0,top
C9,91.5,-96.0,270.0,top
D1,99.0,-82.0,90.0,top
D10,94.5,-106.5,270.0,top
D11,94.5,-110.0,270.0,top
D12,94.5,-113.5,270.0,top
D2,102.5,-82.0,90.0,top
D3,94.5,-82.0,270.0,top
D4,94.5,-85.5,270.0,top
D5,94.5,-89.0,270.0,top
D6,94.5,-92.5,270.0,top
D7,94.5,-96.0,270.0,top
D8,94.5,-99.5,270.0,top
D9,94.5,-103.0,270.0,top
J1,82.255,-111.975,270.0,top
J2,82.375,-118.9,0.0,top
J3,123.0,-86.0,0.0,top
J4,122.975,-101.22,0.0,top
J5,123.0,-115.0,0.0,top
J6,111.27,-119.5,270.0,top
R1,97.0,-91.5,90.0,top
R2,97.0,-87.5,90.0,top
R3,120.0,-93.5,270.0,top
R4,122.5,-93.5,270.0,top
SW1,71.5,-114.65,90.0,top
SW2,71.5,-108.65,90.0,top
U1,80.88,-92.35,0.0,top
U2,108.5,-98.0,270.0,top
